№,Фраза,"Показы (broad, снимок 30 дн)",Форм слито,Тип,Пиллар,Интент,Класс,Пол,Предмет,Гео,Сезон,Asset,Флаг,Сиды
1691,профессии после 9 класса что сдавать,522,1,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9
1692,школьной профориентации,522,1,top,0,info,—,—,—,—,сент-окт,main,,p01_proforientaciya
1693,куда поступать после 9 класса направление,520,1,top,C,info,9,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
1694,куда поступить после 11 класса на психолога,520,1,top,C,info,11,—,—,—,июнь-июль,main,,c02_kuda_postupat_posle_11
1695,профориентация тест на выбор профессии бесплатно онлайн,520,7,top,D,commercial,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu;d02_test_besplatno;d03_test_online;d05_test_na_professiyu;d06_test_na_vybor_professii;p01_proforientaciya;p04_prof_online
1696,ранняя профориентация в доу,520,1,top,0,info,—,—,—,—,сент-окт,main,,p01_proforientaciya
1697,8 профессий будущего,519,1,top,E,info,—,—,—,—,flat,main,,e04_professii_buduschego
1698,проходной балл профессии после 9 класса,518,1,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9
1699,онлайн тест на профессию бесплатно с результатом,518,1,top,D,commercial,—,—,—,—,сент-окт,main,,d05_test_na_professiyu
1700,профориентация час,518,1,top,0,info,—,—,—,—,сент-окт,main,,p01_proforientaciya
1701,часы профориентации,518,1,top,0,info,—,—,—,—,сент-окт,main,,p01_proforientaciya
1702,вузы куда можно поступить с химией,517,1,top,C,info,—,—,химия,—,июнь-июль,main,,c14_s_himiej
1703,профориентация проведение,514,1,top,0,info,—,—,—,—,сент-окт,main,,p01_proforientaciya
1704,куда поступить после 11 класса университет,513,1,top,C,info,11,—,—,—,июнь-июль,main,,c02_kuda_postupat_posle_11
1705,куда поступить после 11 класса егэ история,513,1,top,C,info,11,—,история,—,июнь-июль,main,,c02_kuda_postupat_posle_11
1706,у всех ли профессий есть будущее,513,1,top,E,info,—,—,—,—,flat,main,,e04_professii_buduschego
1707,с профилем математика информатика куда поступить,512,1,top,C,info,—,—,информатика,—,июнь-июль,main,,c13_s_informatikoj
1708,бесплатная профориентация онлайн для школьников,512,1,top,0,commercial,—,—,—,—,сент-окт,main,,p03_prof_dlya_shkolnikov
1709,казань куда поступить после 9 класса бюджет,508,1,top,C,info,9,—,—,казан,июнь-июль,aggregator,,c01_kuda_postupat_posle_9
1710,куда поступить после 9 класса набережные,507,1,top,C,info,9,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
1711,какая профессия после 9 класса тест,506,1,top,D,info,9,—,—,—,сент-окт,main,,c03_professii_posle_9
1712,куда поступить после 11 класса россия,505,1,top,C,info,11,—,—,—,июнь-июль,main,,c02_kuda_postupat_posle_11
1713,политехнический колледж профессии после 9 класса,504,1,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9
1714,тест ддо климова,504,4,top,D,info,—,—,—,—,сент-окт,main,,d08_test_klimova;d09_ddo_klimova
1715,топ профессий будущего,504,1,top,E,info,—,—,—,—,flat,main,,e04_professii_buduschego
1716,куда поступить после 9 класса в белгороде,503,1,top,C,info,9,—,—,белгород,июнь-июль,aggregator,,c01_kuda_postupat_posle_9
1717,куда поступить после 9 класса в симферополе,502,1,top,C,info,9,—,—,симферопол,июнь-июль,aggregator,,c01_kuda_postupat_posle_9
1718,профессии после 9 класса ижевск,502,1,top,C,info,9,—,—,ижевск,июнь-июль,aggregator,,c03_professii_posle_9
1719,профессии в челябинске после 9 класса,500,1,top,C,info,9,—,—,челябинск,июнь-июль,aggregator,,c03_professii_posle_9
1720,куда поступить с физикой в москве,500,1,top,C,info,—,—,физика,москв,июнь-июль,aggregator,,c15_s_fizikoj
1721,куда поступать после 9 класса набережные челны,499,1,top,C,info,9,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
1722,зарабатываемая профессия после 9 класса,499,1,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9
1723,куда поступить с экзаменами русский биология,498,1,top,C,info,—,—,биология,—,июнь-июль,main,,c12_s_biologiej
1724,куда поступать с химией и физикой,498,2,top,C,info,—,—,химия,—,июнь-июль,main,,c14_s_himiej;c15_s_fizikoj
1725,на кого пойти учиться девочке,497,1,top,B,info,—,f,—,—,март-апр,main,,b04_na_kogo_pojti_uchitsya
1726,профессии после 9 класса в уфе,497,1,top,C,info,9,—,—,уфе,июнь-июль,aggregator,,c03_professii_posle_9
1727,куда можно поступить после 9 класса ярославль,495,1,top,C,info,9,—,—,ярославл,июнь-июль,aggregator,,c01_kuda_postupat_posle_9
1728,куда поступить после 9 класса с овз,494,1,top,C,info,9,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
1729,тест куда поступать после 9 класса,494,1,top,D,info,9,—,—,—,сент-окт,main,,c01_kuda_postupat_posle_9
1730,рисунок профессия будущего,494,1,top,E,info,—,—,—,—,flat,main,,e04_professii_buduschego
1731,тест на профессию для школьников,493,1,top,D,info,—,—,—,—,сент-окт,main,,d05_test_na_professiyu
1732,какую профессию выбрать после 11 класса,492,2,top,C,info,11,—,—,—,июнь-июль,main,,b01_kakuyu_professiyu_vybrat;c04_professii_posle_11
1733,оплачиваемые профессии после 9 класса,492,1,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9
1734,кем стать после 9 класса девушке,491,1,top,C,info,9,f,—,—,июнь-июль,main,,c07_kem_stat_posle_9
1735,куда поступить с профилем и информатикой,491,1,top,C,info,—,—,информатика,—,июнь-июль,main,,c13_s_informatikoj
1736,профессии после 11 класса и предметы,490,1,top,C,info,11,—,—,—,июнь-июль,main,,c04_professii_posle_11
1737,куда поступить в вуз с биологией,490,1,top,C,info,—,—,биология,—,июнь-июль,main,,c12_s_biologiej
1738,прибыльные профессии после 9 класса,489,1,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9
1739,центр профессии будущего печатники,489,1,top,E,commercial,—,—,—,—,flat,main,,e04_professii_buduschego
1740,куда поступить на мчс после 9 класса,488,1,top,C,info,9,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
1741,обществознание какие профессии после 11 класса,488,1,top,C,info,11,—,обществознание,—,июнь-июль,main,,c04_professii_posle_11
1742,университет после 9 класса профессии,487,1,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9
1743,поступить на электрика после 9 класса куда,486,1,top,C,info,9,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
1744,профессии после 11 класса русский математика,485,1,top,C,info,11,—,математика,—,июнь-июль,main,,c04_professii_posle_11
1745,тест на профориентацию после 9 бесплатно,485,2,top,D,commercial,9,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu;d02_test_besplatno
1746,самые высокооплачиваемые профессии в россии после 9,484,1,top,C,info,9,—,—,—,июнь-июль,main,,e03_vysokooplachivaemye
1747,профессии после 9 класса в нижнем новгороде,483,1,top,C,info,9,—,—,нижнем новгород,июнь-июль,aggregator,,c03_professii_posle_9
1748,куда поступать с егэ история английский,483,1,top,C,info,—,—,история,—,июнь-июль,main,,c11_s_istoriej
1749,куда поступать с егэ обществознание и географией,482,1,top,C,info,—,—,обществознание,—,июнь-июль,main,,c16_s_geografiej
1750,сургут куда поступить после 9 класса,478,1,top,C,info,9,—,—,сургут,июнь-июль,aggregator,,c01_kuda_postupat_posle_9
1751,тест на профориентацию 11 класс,477,2,top,D,info,11,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu
1752,куда поступить в твери после 9 класса,476,1,top,C,info,9,—,—,твер,июнь-июль,aggregator,,c01_kuda_postupat_posle_9
1753,тест на профессию онлайн без регистрации,476,1,top,D,commercial,—,—,—,—,сент-окт,main,,d05_test_na_professiyu
1754,тест е а климова,476,3,top,D,info,—,—,—,—,сент-окт,main,,d08_test_klimova
1755,важные профессии будущего,476,1,top,E,info,—,—,—,—,flat,main,,e04_professii_buduschego
1756,тест на профориентацию для школьников 9,475,2,top,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu;p03_prof_dlya_shkolnikov
1757,азбука профессий будущего,475,1,top,E,info,—,—,—,—,flat,main,,e04_professii_buduschego
1758,кем можно стать если сдавать,474,1,top,B,info,—,—,—,—,март-апр,main,,b03_kem_mozhno_stat
1759,куда поступать после 9 с химией,474,1,top,C,info,9,—,химия,—,июнь-июль,main,,c14_s_himiej
1760,цель профессии будущего,474,1,top,E,info,—,—,—,—,flat,main,,e04_professii_buduschego
1761,куда поступить после 9 класса краснодарский край,473,1,top,C,info,9,—,—,краснодар,июнь-июль,aggregator,,c01_kuda_postupat_posle_9
1762,куда поступить после 11 го класса,473,1,top,C,info,11,—,—,—,июнь-июль,main,,c02_kuda_postupat_posle_11
1763,куда поступить на бюджет с информатикой,473,1,top,C,info,—,—,информатика,—,июнь-июль,main,,c13_s_informatikoj
1764,куда поступать с базовой математикой и информатикой,473,1,top,C,info,—,—,информатика,—,июнь-июль,main,,c13_s_informatikoj
1765,профессии для мальчиков после 9 класса список,472,1,top,C,info,9,m,—,—,июнь-июль,main,,c03_professii_posle_9
1766,профессии после 9 класса в екатеринбурге,472,1,top,C,info,9,—,—,екатеринбург,июнь-июль,aggregator,,c03_professii_posle_9
1767,профессии после 9 класса в тюмени,472,1,top,C,info,9,—,—,тюмен,июнь-июль,aggregator,,c03_professii_posle_9
1768,куда поступать с химией биологией москва,472,2,top,C,info,—,—,биология,москв,июнь-июль,aggregator,,c12_s_biologiej;c14_s_himiej
1769,куда поступить после 9 класса псков,471,1,top,C,info,9,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
1770,тест на профессию онлайн после 9,471,1,top,D,commercial,9,—,—,—,сент-окт,main,,d05_test_na_professiyu
1771,эссе на тему моя будущая профессия,470,1,top,E,info,—,—,—,—,flat,main,,e04_professii_buduschego
1772,профессии ближайшего будущего,469,1,top,E,info,—,—,—,—,flat,main,,e04_professii_buduschego
1773,кем можно стать в россии,468,1,top,B,info,—,—,—,—,март-апр,main,,b03_kem_mozhno_stat
1774,на кого пойти учиться парню,468,1,top,B,info,—,m,—,—,март-апр,main,,b04_na_kogo_pojti_uchitsya
1775,тест на профессию бесплатно без регистрации онлайн,468,1,top,D,commercial,—,—,—,—,сент-окт,main,,d05_test_na_professiyu
1776,будущие профессии после 9 класса,467,2,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9;e04_professii_buduschego
1777,куда можно поступить после 9 класса саранск,466,1,top,C,info,9,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
1778,пройти профориентацию онлайн климов,466,2,top,D,commercial,—,—,—,—,сент-окт,main,,p04_prof_online;p06_projti_proforientaciyu
1779,на кого пойти учиться чтобы работать,465,2,top,B,info,—,—,—,—,март-апр,main,,b04_na_kogo_pojti_uchitsya;b06_kem_pojti_rabotat
1780,профессии после 9 класса в иркутске,464,1,top,C,info,9,—,—,иркутск,июнь-июль,aggregator,,c03_professii_posle_9
1781,бесплатный тест на профориентацию после 9 класса,464,3,top,D,commercial,9,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu;d02_test_besplatno;p05_prof_9_klass
1782,самые высокооплачиваемые профессии в медицине,464,1,top,E,info,—,—,—,—,flat,main,,e03_vysokooplachivaemye
1783,профессии после 9 класса липецк,463,1,top,C,info,9,—,—,липецк,июнь-июль,aggregator,,c03_professii_posle_9
1784,как выбрать будущую профессию,462,1,top,B,info,—,—,—,—,март-апр,main,,b02_kak_vybrat_professiyu
1785,куда можно поступить с литературой и историей,462,1,top,C,info,—,—,история,—,июнь-июль,main,,c11_s_istoriej
1786,куда можно заочно поступить после 11 класса,459,1,top,C,info,11,—,—,—,июнь-июль,main,,c02_kuda_postupat_posle_11
1787,на кого пойти учиться девушке список,458,1,top,B,info,—,f,—,—,март-апр,main,,b04_na_kogo_pojti_uchitsya
1788,тест на профессию после 9 класса онлайн,458,2,top,D,commercial,9,—,—,—,сент-окт,main,,c03_professii_posle_9;d05_test_na_professiyu
1789,тест на профориентацию для школьников 9 класс,458,3,top,D,info,9,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu;p03_prof_dlya_shkolnikov;p05_prof_9_klass
1790,куда поступить на бюджет с физикой,457,1,top,C,info,—,—,физика,—,июнь-июль,main,,c15_s_fizikoj
1791,в каком классе выбирать профессию,456,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
1792,техникум зеленогорск красноярский край,456,1,assoc,C,info,—,—,—,красноярск,июнь-июль,aggregator,,g01_kolledzhi_krasnoyarsk
1793,на кого можно пойти учиться в колледж,454,2,top,C,info,—,—,—,—,июнь-июль,main,,b04_na_kogo_pojti_uchitsya
1794,куда поступить после 9 класса магнитогорск,454,1,top,C,info,9,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
1795,профориентация тест на выбор профессии 9,454,3,top,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu;d05_test_na_professiyu;d06_test_na_vybor_professii
1796,высокооплачиваемые профессии в россии после 11 класса,453,1,top,C,info,11,—,—,—,июнь-июль,main,,c04_professii_posle_11
1797,тест профориентация 9 класс на выбор профессии,453,4,top,D,info,9,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu;d05_test_na_professiyu;d06_test_na_vybor_professii;p05_prof_9_klass
1798,профессии после 9 класса чебоксары,452,1,top,C,info,9,—,—,чебоксар,июнь-июль,aggregator,,c03_professii_posle_9
1799,техническое образование это какие специальности,452,2,assoc,C,info,—,—,—,—,июнь-июль,main,,c11_s_istoriej;c15_s_fizikoj
1800,куда поступить с обществом и информатикой,452,1,top,C,info,—,—,информатика,—,июнь-июль,main,,c13_s_informatikoj
1801,гигтест ру пройти тестирование,451,1,assoc,D,commercial,—,—,—,—,сент-окт,main,,d05_test_na_professiyu
1802,гуманитарные профессии после 11 класса,449,1,top,C,info,11,—,—,—,июнь-июль,main,,c04_professii_posle_11
1803,вузы куда поступить с информатикой,449,1,top,C,info,—,—,информатика,—,июнь-июль,main,,c13_s_informatikoj
1804,заведение куда поступают после 9 класса,448,1,top,C,info,9,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
1805,тест климова пройти онлайн,448,1,top,D,commercial,—,—,—,—,сент-окт,main,,d08_test_klimova
1806,тест опросник климова,447,1,top,D,info,—,—,—,—,сент-окт,main,,d08_test_klimova
1807,военная девушка куда поступать,446,1,top,C,info,—,f,—,—,июнь-июль,main,,c08_kuda_postupat_devushke
1808,тест на кого пойти учиться,445,1,top,D,info,—,—,—,—,сент-окт,main,,b04_na_kogo_pojti_uchitsya
1809,после 11 класса куда можно поступить девушке,445,2,top,C,info,11,f,—,—,июнь-июль,main,,c02_kuda_postupat_posle_11;c08_kuda_postupat_devushke
1810,лучшие профессии после 9 класса для мальчиков,445,1,top,C,info,9,m,—,—,июнь-июль,main,,c03_professii_posle_9
1811,пройти тест климова на профориентацию,445,4,top,D,commercial,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu;d04_projti_test;d08_test_klimova;p06_projti_proforientaciyu
1812,профессии после 9 класса магнитогорск,444,1,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9
1813,куда поступить девушке после колледжа,444,1,top,C,info,—,f,—,—,июнь-июль,main,,c08_kuda_postupat_devushke
1814,сургут профессии после 9 класса,440,1,top,C,info,9,—,—,сургут,июнь-июль,aggregator,,c03_professii_posle_9
1815,профессии после 11 класса с биологией,439,1,top,C,info,11,—,биология,—,июнь-июль,main,,c04_professii_posle_11
1816,кем можно хотеть стать,438,1,top,B,info,—,—,—,—,март-апр,main,,b03_kem_mozhno_stat
1817,профессия кондитер после 9 класса,438,1,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9
1818,куда можно поступить после 9 класса сыктывкар,436,1,top,C,info,9,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
1819,куда поступить после 11 класса институт,434,1,top,C,info,11,—,—,—,июнь-июль,main,,c02_kuda_postupat_posle_11
1820,техникум сосновоборск красноярский край,434,1,assoc,C,info,—,—,—,красноярск,июнь-июль,aggregator,,g01_kolledzhi_krasnoyarsk
1821,профориентация 2025 2026 учебный,433,1,top,0,info,—,—,—,—,сент-окт,main,,p08_proforientaciya_2026
1822,как правильно выбрать профессию,432,1,top,B,info,—,—,—,—,март-апр,main,,b02_kak_vybrat_professiyu
1823,какая профессия мне подходит после 9,431,1,top,C,info,9,—,—,—,июнь-июль,main,,b05_kakaya_professiya_podhodit
1824,куда поступить на кинолога после 9 класса,431,1,top,C,info,9,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
1825,востребованные профессии в 2026 после 9 класса,429,1,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9
1826,куда поступить на ветеринара после 9 класса,428,1,top,C,info,9,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
1827,какое образование получают в техникуме,428,4,assoc,C,info,—,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9;c02_kuda_postupat_posle_11;c03_professii_posle_9;c06_specialnosti_posle_9
1828,какую профессию будущего выбрать,425,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
1829,профессия железнодорожный после 9 класса,425,1,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9
1830,какая профессия после 9 класса парню,425,1,top,C,info,9,m,—,—,июнь-июль,main,,c03_professii_posle_9
1831,профориентация 2025 2026 учебный год,425,1,top,0,info,—,—,—,—,сент-окт,main,,p08_proforientaciya_2026
1832,училище после 9 класса поступить куда,424,1,top,C,info,9,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
1833,кем пойти работать без опыта,423,1,top,B,info,—,—,—,—,март-апр,main,,b06_kem_pojti_rabotat
1834,куда поступить после 11 класса по предметам,423,1,top,C,info,11,—,—,—,июнь-июль,main,,c02_kuda_postupat_posle_11
1835,на какую профессию идти после 9 класса,420,1,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9
1836,куда поступить с русским биологией и обществом,420,1,top,C,info,—,—,биология,—,июнь-июль,main,,c12_s_biologiej
1837,куда поступать на полицейского после 9 класса,419,1,top,C,info,9,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
1838,на кого пойти учиться высшее,418,1,top,B,info,—,—,—,—,март-апр,main,,b04_na_kogo_pojti_uchitsya
1839,калуга куда можно поступить после 9 класса,418,1,top,C,info,9,—,—,калуг,июнь-июль,aggregator,,c01_kuda_postupat_posle_9
1840,куда поступать с профилем и биологией,418,1,top,C,info,—,—,биология,—,июнь-июль,main,,c12_s_biologiej
1841,как помочь выбрать профессию,417,1,top,B,info,—,—,—,—,март-апр,main,,b02_kak_vybrat_professiyu
1842,куда поступить после 11 класса список,417,1,top,C,info,11,—,—,—,июнь-июль,main,,c02_kuda_postupat_posle_11
1843,куда лучше поступить девушке после 9,416,1,top,C,info,9,f,—,—,июнь-июль,main,,c08_kuda_postupat_devushke
1844,овз куда можно поступить после 9 класса,415,1,top,C,info,9,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
1845,куда поступить после 11 класса техникум,415,1,top,C,info,11,—,—,—,июнь-июль,main,,c02_kuda_postupat_posle_11
1846,куда надо поступать после 9 класса,414,1,top,C,info,9,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
1847,куда пойти поступить после 9 класса,413,1,top,C,info,9,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
1848,профессии в оренбурге после 9 класса,413,1,top,C,info,9,—,—,оренбург,июнь-июль,aggregator,,c03_professii_posle_9
1849,популярные профессии после 9 класса,410,1,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9
1850,куда поступать с географией русским и обществом,410,1,top,C,info,—,—,география,—,июнь-июль,main,,c16_s_geografiej
1851,10 самых высокооплачиваемых профессий,409,1,top,E,info,—,—,—,—,flat,main,,e03_vysokooplachivaemye
1852,на кого пойти учиться мальчику,406,1,top,B,info,—,m,—,—,март-апр,main,,b04_na_kogo_pojti_uchitsya
1853,тест на профориентацию для подростков,406,2,top,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu;p02_prof_dlya_podrostkov
1854,кем можно пойти работать девушке,403,1,top,B,info,—,f,—,—,март-апр,main,,b06_kem_pojti_rabotat
1855,профессии после 9 класса в ростове,403,1,top,C,info,9,—,—,ростов,июнь-июль,aggregator,,c03_professii_posle_9
1856,какую профессию выбрать в 2026,402,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
1857,куда поступить после 9 класса без экзаменов,401,1,top,C,info,9,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
1858,профессия психолог после 9 класса,400,1,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9
1859,профессии после 11 класса егэ,400,1,top,C,info,11,—,—,—,июнь-июль,main,,c04_professii_posle_11
1860,куда поступить после 9 класса в череповце,399,1,top,C,info,9,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
1861,орел куда можно поступить после 9 класса,398,1,top,C,info,9,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
1862,химия профессии после 11 класса,398,1,top,C,info,11,—,химия,—,июнь-июль,main,,c04_professii_posle_11
1863,профессии после 11 класса и какие предметы,397,1,top,C,info,11,—,—,—,июнь-июль,main,,c04_professii_posle_11
1864,на кого хочешь пойти учиться,396,1,top,B,info,—,—,—,—,март-апр,main,,b04_na_kogo_pojti_uchitsya
1865,куда можно поступить после 9 класса петрозаводск,396,1,top,C,info,9,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
1866,куда поступить после 9 класса мвд,396,1,top,C,info,9,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
1867,тест климова на профориентацию онлайн,396,4,top,D,commercial,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu;d03_test_online;d08_test_klimova;p04_prof_online
1868,куда лучше поступать после 9 класса девушке,395,2,top,C,info,9,f,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9;c08_kuda_postupat_devushke
1869,профессии после 9 класса колледж омск,393,1,top,C,info,9,—,—,омск,июнь-июль,aggregator,,c03_professii_posle_9
1870,профессии после 11 класса с русским,393,1,top,C,info,11,—,русский язык,—,июнь-июль,main,,c04_professii_posle_11
1871,топ самых высокооплачиваемых профессий в россии,392,1,top,E,info,—,—,—,—,flat,main,,e03_vysokooplachivaemye
1872,куда поступить с экзаменами химия биология,391,2,top,C,info,—,—,биология,—,июнь-июль,main,,c12_s_biologiej;c14_s_himiej
1873,кем пойти работать в 14,390,1,top,B,info,—,—,—,—,март-апр,main,,b06_kem_pojti_rabotat
1874,куда поступить в иваново после 9 класса,390,1,top,C,info,9,—,—,иванов,июнь-июль,aggregator,,c01_kuda_postupat_posle_9
1875,после окончания 9 класс профессия,390,1,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9
1876,самые востребованные и высокооплачиваемые профессии в россии,390,1,top,E,info,—,—,—,—,flat,main,,e03_vysokooplachivaemye
1877,онлайн какая профессия мне подходит,389,1,top,B,info,—,—,—,—,март-апр,main,,b05_kakaya_professiya_podhodit
1878,тест на профессию девушке бесплатно,388,1,top,D,commercial,—,f,—,—,сент-окт,main,,d05_test_na_professiyu
1879,какую профессию выбрать девушке после 9,387,1,top,C,info,9,f,—,—,июнь-июль,main,,b01_kakuyu_professiyu_vybrat
1880,какую профессию выбрать после 9 класса девушке,386,2,top,C,info,9,f,—,—,июнь-июль,main,,b01_kakuyu_professiyu_vybrat;c03_professii_posle_9
1881,тест на профориентацию 9 класс онлайн,386,5,top,D,commercial,9,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu;d03_test_online;p04_prof_online;p05_prof_9_klass
1882,какая профессия мне подходит после 9 класса,385,2,top,C,info,9,—,—,—,июнь-июль,main,,b05_kakaya_professiya_podhodit;c03_professii_posle_9
1883,профессии после 9 класса информатика,384,1,top,C,info,9,—,информатика,—,июнь-июль,main,,c03_professii_posle_9
1884,тест какая профессия подойдет после 9 класса,384,1,top,D,info,9,—,—,—,сент-окт,main,,c03_professii_posle_9
1885,профориентация онлайн тест бесплатно для 9,384,2,top,D,commercial,—,—,—,—,сент-окт,main,,p04_prof_online
1886,тест какая профессия мне подходит после 9,383,1,top,D,info,9,—,—,—,сент-окт,main,,b05_kakaya_professiya_podhodit
1887,государственные профессии после 9 класса,383,1,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9
1888,кем можно работать с образованием юриста,383,1,assoc,B,info,—,—,—,—,март-апр,main,,c04_professii_posle_11
1889,куда поступать с базой и биологией,381,1,top,C,info,—,—,биология,—,июнь-июль,main,,c12_s_biologiej
1890,профориентация онлайн тест бесплатно для 9 класса,381,5,top,D,commercial,9,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu;d02_test_besplatno;d03_test_online;p04_prof_online;p05_prof_9_klass
1891,профессии в саратове после 9 класса,379,1,top,C,info,9,—,—,саратов,июнь-июль,aggregator,,c03_professii_posle_9
1892,полиция куда поступать после 9 класса,377,1,top,C,info,9,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
1893,куда поступить бесплатно после 11 класса,377,1,top,C,commercial,11,—,—,—,июнь-июль,main,бесплатно=бюджет (резолюция v2),c02_kuda_postupat_posle_11
1894,выбрать профессию после 9 класса мальчику,377,1,top,C,info,9,m,—,—,июнь-июль,main,,c03_professii_posle_9
1895,куда поступить с английским историей и русским,377,1,top,C,info,—,—,история,—,июнь-июль,main,,c11_s_istoriej
1896,на кого лучше пойти учиться девушке,376,1,top,B,info,—,f,—,—,март-апр,main,,b04_na_kogo_pojti_uchitsya
1897,профессии после 9 класса полиция,375,1,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9
1898,2 как выбрать профессию,374,1,top,B,info,—,—,—,—,март-апр,main,,b02_kak_vybrat_professiyu
1899,куда поступить после 9 класса в стерлитамаке,374,1,top,C,info,9,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
1900,самые высокооплачиваемые профессии в россии для мужчин,374,1,top,E,info,—,—,—,—,flat,main,,e03_vysokooplachivaemye
1901,профессии сколько учиться после 9 класса,373,1,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9
1902,куда поступать девушке с математикой,373,1,top,C,info,—,f,математика,—,июнь-июль,main,,c08_kuda_postupat_devushke
1903,матрица выбора профессии,373,1,assoc,D,info,—,—,—,—,сент-окт,main,,d02_test_besplatno
1904,куда и кем пойти работать,372,1,top,B,info,—,—,—,—,март-апр,main,,b06_kem_pojti_rabotat
1905,профессии куда можно поступить после 11 класса,371,2,top,C,info,11,—,—,—,июнь-июль,main,,c02_kuda_postupat_posle_11;c04_professii_posle_11
1906,тест на выберите профессии,371,1,top,D,info,—,—,—,—,сент-окт,main,,d05_test_na_professiyu
1907,профессия автомеханик после 9 класса,370,1,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9
1908,куда поступить с химией казань,370,1,top,C,info,—,—,химия,казан,июнь-июль,aggregator,,c14_s_himiej
1909,профориентация для 9 класса выбор,370,1,top,0,info,9,—,—,—,сент-окт,main,,p05_prof_9_klass
1910,что делать если не знаешь кем стать,369,1,top,B,info,—,—,—,—,март-апр,main,,b07_ne_znayu_kem_stat
1911,аграрные профессии после 9 класса,369,1,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9
1912,список профессий после 11 класса для девушек,369,1,top,C,info,11,f,—,—,июнь-июль,main,,c04_professii_posle_11
1913,мед профессии после 9 класса,368,1,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9
